Outflow,Twelevation
75650,3148.039495
75700,3148.045288
75750,3148.051078
75800,3148.056867
75850,3148.062653
75900,3148.068438
75950,3148.07422
76000,3148.080001
76050,3148.08578
76100,3148.091557
76150,3148.097332
76200,3148.103106
76250,3148.108877
76300,3148.114646
76350,3148.120414
76400,3148.12618
76450,3148.131943
76500,3148.137705
76550,3148.143465
76600,3148.149224
76650,3148.15498
76700,3148.160734
76750,3148.166487
76800,3148.172237
76850,3148.177986
76900,3148.183733
76950,3148.189478
77000,3148.195221
77050,3148.200963
77100,3148.206702
77150,3148.21244
77200,3148.218175
77250,3148.223909
77300,3148.229641
77350,3148.235371
